Position,World Ranking,Name,Team,UCI Number,Nationality,YOB,Speed,Speed Ranking,Split 1,Split 1 pos,Split 2,Split 2 pos,Split 3,Split 3 pos,Split 4,Split 4 pos,Time,TOW,Points
47,55,LALY Thibault,PINKBIKE RACING,10009533464,FRA,1997,60.674,7,0:48.082,53,1:22.150,49,2:01.930,46,2:31.305,45,03:01.0,13.723,14
48,54,MASTERS Edward,PIVOT FACTORY RACING,10005560003,NZL,1989,60.134,13,0:48.935,55,1:23.718,53,2:02.880,49,2:32.162,47,03:01.0,13.873,13
49,125,GIRONDE Mael,,10074421616,FRA,2003,55.498,55,0:47.858,51,1:22.914,51,2:03.194,51,2:32.554,51,03:01.0,14.152,12
50,62,BARANEK Rastislav,,10008169808,SVK,1995,57.816,43,0:48.528,54,1:23.041,52,2:02.993,50,2:32.254,48,03:02.0,14.86,11
51,126,READING Jack,SR SUNTOUR COMMENCAL BY GRAVITY,10006576176,GBR,1988,56.902,49,0:51.154,57,1:24.890,54,2:06.334,53,2:37.178,53,03:07.0,19.842,10
52,44,EDMONDSON Jamie,ROCKSHOX TREK RACE TEAM,10023865620,GBR,2001,57.631,46,0:47.074,36,1:27.055,56,2:08.179,54,2:38.636,54,03:08.0,20.973,9
53,121,MAES Martin,,10009453945,BEL,1997,60.067,14,1:04.472,59,1:38.508,57,2:16.784,55,2:44.163,55,03:12.0,24.66,8
54,28,ALAZZARI Davide,RRT ROGUE RACING - AFTER SKULL TEAM,10010022205,ITA,1995,56.191,53,1:06.195,60,1:40.802,58,2:20.699,56,2:49.957,56,03:19.0,31.981,7
55,63,BANDEIRA Gon‡alo,,10054661096,POR,2002,54.878,56,0:46.359,18,1:21.297,37,2:24.409,57,2:53.155,57,03:24.0,36.515,6
56,69,MENOYO BUSQUETS au,COMMENCAL - SCHWALBE,10079233725,ESP,2003,30.647,60,0:47.228,40,1:20.600,31,2:00.486,35,2:32.478,50,03:25.0,37.475,5
57,39,KERR Henry,PROPAIN FACTORY RACING,10111341129,IRL,2000,48.693,59,0:46.709,26,1:26.375,55,2:04.920,52,2:34.823,52,03:26.0,38.292,4
58,34,HARRISON Charlie,TREK FACTORY RACING DH,10009645925,USA,1997,57.143,48,0:46.186,16,1:46.648,60,2:26.940,59,2:56.576,58,03:26.0,39.1,3
59,2,DAPRELA Thibaut,COMMENCAL/MUC-OFF BY RIDING,10072798480,FRA,2001,52.529,57,0:45.056,5,1:17.761,8,2:25.252,58,3:08.088,59,03:44.0,56.873,2
60,60,FAIRCLOUGH Brendan,SCOTT DOWNHILL FACTORY,10003642635,GBR,1988,49.180,58,0:52.845,58,1:43.444,59,2:46.689,60,3:37.291,60,04:15.0,0.00101588,1
